Número de identificação da publicação,Link permanente,Publicar mensagem,Tipo,Países,Idiomas,Publicado,Direcionamento do público,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - report_spam_clicks,,
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,,,
316136345150243_1856695171094345,https://www.facebook.com/camaradeputados/posts/1856695171094345,Proposta amplia de cinco para sete meses a estabilidade das mulheres no emprego após o parto para assegurar maior tempo de aleitamento materno. Projeto ainda será analisado pela CCJ. https://goo.gl/NfcHuQ,Photo,,,11/01/2018 3:01:01 PM, ,11859,11859,0,15071,15071,0,579,385,510,5,5,11441,9007,0,0,435,0,0,0,0,0,0,0,0,0,0,44,203,49,48,215,67,329,65,26,,415,68,27,,2,3,,,2,3,,,,
316136345150243_1856869231076939,https://www.facebook.com/camaradeputados/posts/1856869231076939,"A revista será feita com uso de equipamentos eletrônicos, como detectores de metais, para evitar tratamento desumano ou degradante. A proposta segue para Plenário. https://goo.gl/cVdsfn",Photo,,,11/01/2018 10:30:01 AM, ,16039,16039,0,21904,21904,0,1349,1085,1456,3,3,17814,13209,0,0,1102,0,0,0,0,0,0,0,0,0,0,36,430,131,38,451,203,980,105,73,,1267,113,76,,,3,,,,3,,,,
316136345150243_1855173331246529,https://www.facebook.com/camaradeputados/posts/1855173331246529,Projeto prevê laboratórios de ensino para estudantes com necessidades educacionais especiais nas escolas em todos os níveis e modalidades de ensino. https://goo.gl/84P9yf,Photo,,,11/01/2018 6:29:00 AM, ,8476,8476,0,10489,10489,0,256,126,153,2,2,8334,6825,0,0,206,0,0,0,0,0,0,0,0,0,0,39,138,28,44,144,34,104,21,5,,127,21,5,,,2,,,,2,,,,
316136345150243_1855171391246723,https://www.facebook.com/camaradeputados/posts/1855171391246723,"O texto aprovado adota os compromissos de diminuição das emissões de gases do efeito estufa voluntariamente adotados pelo Brasil na chamada iNDC, a Contribuição Nacionalmente Determinada. https://goo.gl/hyTV66",Photo,,,10/31/2018 2:59:00 PM, ,9569,9569,0,12145,12145,0,244,143,182,3,3,8204,6306,0,0,175,0,0,0,0,0,0,0,0,0,0,28,116,23,29,121,29,111,30,13,,135,31,16,,,3,,,,3,,,,
316136345150243_1846706978759831,https://www.facebook.com/camaradeputados/posts/1846706978759831,"Concessionárias de exploração de petróleo e gás natural deverão investir 1% do valor bruto da produção de cada campo em pesquisa, desenvolvimento e inovação. Metade desse total deve ser destinado para fontes renováveis de energia. https://goo.gl/5MZDKZ",Photo,,,10/31/2018 7:32:00 AM, ,9827,9827,0,12813,12813,0,425,259,407,1,1,10634,8232,0,0,367,0,0,0,0,0,0,0,0,0,0,27,208,48,28,211,106,223,39,8,,354,45,8,,,1,,,,1,,,,
316136345150243_1855432574553938,https://www.facebook.com/camaradeputados/posts/1855432574553938,"Acompanhe transmissão ao vivo: https://goo.gl/wK52rA

Comissão Especial irá debater o direito que a autoridade tem de ser julgada pelas instâncias superiores, STF ou STJ. Acompanhe nos comentários o link pra transmissão ao vivo. Matéria completa: https://goo.gl/GeVCTb",Photo,,,10/30/2018 3:13:00 PM, ,13602,13602,0,17223,17223,0,656,360,479,5,5,11232,8740,0,0,494,0,0,0,0,0,0,0,0,0,0,74,344,46,76,347,80,260,80,46,,343,86,50,,2,3,,,2,3,,,,
316136345150243_1846705425426653,https://www.facebook.com/camaradeputados/posts/1846705425426653,Proposta obriga as centrais telefônicas destinadas à prestação de serviços de utilidade pública a oferecer atendimento diferenciado para pessoas com deficiência. https://goo.gl/gdzGAi,Photo,,,10/30/2018 2:59:01 PM, ,8144,8144,0,10807,10807,0,270,162,211,3,3,8783,6537,0,0,223,0,0,0,0,0,0,0,0,0,0,29,123,17,41,123,30,131,30,8,,173,30,8,,,3,,,,3,,,,
316136345150243_1842849365812259,https://www.facebook.com/camaradeputados/posts/1842849365812259,Já jogou Paintball ou Airsoft? Está em debate um projeto que regulamenta os equipamentos e práticas destes esportes em locais próprios. https://goo.gl/5CtQpx,Photo,,,10/30/2018 10:32:00 AM, ,108255,108255,0,162846,162846,0,15852,13204,19701,13,13,37051,23902,0,0,3108,0,0,0,0,0,0,0,0,0,0,522,4969,1102,533,5584,1713,11812,1524,1782,,16191,1606,1904,,4,8,1,,4,8,1,,,
316136345150243_1846702968760232,https://www.facebook.com/camaradeputados/posts/1846702968760232,"As unidades prisionais são administradas pelo Departamento Penitenciário Nacional (Depen), do Ministério da Segurança Pública. Projeto agora segue para Plenário. https://goo.gl/VrWSNR",Photo,,,10/30/2018 6:29:00 AM, ,7029,7029,0,9165,9165,0,237,167,214,3,3,8052,6202,0,0,206,0,0,0,0,0,0,0,0,0,0,11,88,18,11,90,22,144,24,11,,176,26,12,,,3,,,,3,,,,
