id do Tweet,link permanente do Tweet,texto do Tweet,horário,impressões,interações,taxa de envolvimento,retweets,respostas,favoritos,cliques no perfil do usuário:,cliques no URL,cliques em hashtags:,expansões de detalhes:,cliques no link permanente,aberturas de aplicativos,instalações de aplicativo:,seguiram,Tweet enviado por e-mail,número de telefone discado,visualizações da mídia,engajamentos com mídia,impressões promovido(a)(s),interações promovido(a)(s),taxa de envolvimento promovido(a)(s),retweets promovido(a)(s),respostas promovido(a)(s),favoritos promovido(a)(s),cliques no perfil do usuário: promovido(a)(s),cliques no URL promovido(a)(s),cliques em hashtags: promovido(a)(s),expansões de detalhes: promovido(a)(s),cliques no link permanente promovido(a)(s),aberturas de aplicativos promovido(a)(s),instalações de aplicativo: promovido(a)(s),seguiram promovido(a)(s),Tweet enviado por e-mail promovido(a)(s),número de telefone discado promovido(a)(s),visualizações da mídia promovido(a)(s),engajamentos com mídia promovido(a)(s)
980815423661854720,https://twitter.com/camaradeputados/status/980815423661854720,"Você sabia que a maioria do trabalho da Câmara dos Deputados não acontece no Plenário, mas nas comissões? Amanhã, 03 de abril, as comissões permanentes serão instaladas, ou seja, haverá eleição do presidente e dos vices. Saiba mais: https://t.co/3uQ4S8dfrA https://t.co/tARRyAddJE",2018-04-02 14:33 +0000,6680.0,57.0,8.53E+20,3.0,9.0,9.0,7.0,2.0,0.0,4.0,0.0,0,0,0,0,0,944,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
980816533277544448,https://twitter.com/camaradeputados/status/980816533277544448,Comissão externa que acompanha a intervenção no Rio discute orçamento para segurança. https://t.co/Q1sTk1HCoa #Olerj,2018-04-02 14:37 +0000,3844.0,14.0,3.64E+21,1.0,0.0,4.0,0.0,6.0,1.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
980911452088348672,https://twitter.com/camaradeputados/status/980911452088348672,"Proposta prevê que empresas comprovem, em negociações coletivas, a contratação de aprendizes https://t.co/vmezW0Iso1 #Trabalho",2018-04-02 20:54 +0000,5033.0,13.0,2.58E+21,1.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981150964215369728,https://twitter.com/camaradeputados/status/981150964215369728,AGORA É LEI | @policiafederal tem a atribuição de investigar crimes associados à divulgação de mensagens misóginas (que propagam aversão às mulheres) pela Internet. #Segurança #CrimesCibernéticos,2018-04-03 12:46 +0000,28054.0,199.0,709346260782776,42.0,22.0,100.0,9.0,1.0,11.0,14.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981178267242676224,https://twitter.com/camaradeputados/status/981178267242676224,"AGORA É LEI | Agressor enquadrado na Lei Maria da Penha que não cumprir medida de proteção da vítima, como manter distância mínima, poderá pegar dois anos de detenção. #Segurança",2018-04-03 14:35 +0000,9960.0,124.0,1.24E+21,22.0,10.0,65.0,9.0,0.0,6.0,12.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981178823575261184,https://twitter.com/camaradeputados/status/981178823575261184,"@moraes0valentin @policiafederal Olá! É a Lei nº 10.446, de 8 de maio de 2002. Obrigada pela participação.",2018-04-03 14:37 +0000,181.0,6.0,3.31E+20,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981186747357978624,https://twitter.com/camaradeputados/status/981186747357978624,"Em razão da previsão de manifestações na Esplanada dos Ministérios, a visitação institucional ao Congresso Nacional estará suspensa nesta terça (3) e na quarta-feira (4), inclusive as visitas agendadas. #Visitação",2018-04-03 15:08 +0000,7436.0,30.0,4.03E+20,3.0,5.0,14.0,1.0,0.0,0.0,7.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981187717525581826,https://twitter.com/camaradeputados/status/981187717525581826,"@rdemartin Olá! Tem sim, Roberto. É a lei no 11.340, de 7 de agosto de 2006 (Lei Maria da Penha). https://t.co/xg2yxYc71R",2018-04-03 15:12 +0000,144.0,9.0,625,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981209294724063233,https://twitter.com/camaradeputados/status/981209294724063233,"A Comissão de Integração Nacional, Desenvolvimento Regional e da Amazônia acaba de eleger como presidente, por unanimidade, a @DepMarinhaRaupp (PMDB-RO). https://t.co/qA0qBCtptg",2018-04-03 16:38 +0000,4677.0,11.0,2.35E+21,0.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
981210338824720390,https://twitter.com/camaradeputados/status/981210338824720390,A Comissão de Defesa do Consumidor acaba de eleger como presidente o deputado @josestedile (PSB-RS). A Câmara dos Deputados deve instalar hoje 9 das 25 comissões permanentes. https://t.co/1XDKWVHyNi,2018-04-03 16:42 +0000,4559.0,12.0,2.63E+20,1.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
